Case Number,address_id,agency,attendees,contact_date,contact_method,contact_type,context,notes,worker,worker_organisation
SAMPLE-003,,,,27/05/2025 00:00,Face to Face,Substance Misuse,With,sample answer,Worker C,
SAMPLE-003,,,,29/05/2025 00:00,Face to Face,Multi Agency Exploitation Meeting,With,sample answer,Worker C,
SAMPLE-003,,,,04/06/2025 00:00,Face to Face,Substance Misuse,With,sample answer,Worker C,
SAMPLE-003,,,,05/06/2025 00:00,SMS (to client),Letter/Email/Text Advovacy,With,sample answer,Worker C,
SAMPLE-003,,,,16/06/2025 00:00,Phone (to other),Telephone Out,About,sample answer,Worker C,
SAMPLE-003,,,,17/06/2025 00:00,Face to Face,Offending Behaviour Contact,With,sample answer,Worker C,
SAMPLE-003,,,,18/06/2025 00:00,SMS (from client),Letter/Email/Text Advovacy,With,sample answer,Worker C,
SAMPLE-003,,,,19/06/2025 00:00,Phone (to other),Telephone Out,About,sample answer,Worker C,
SAMPLE-003,,,,22/06/2025 00:00,Face to Face,Offending Behaviour Contact,With,sample answer,Worker C,
SAMPLE-003,,,,23/06/2025 00:00,Video Link,Multi Agency Exploitation Meeting,About,sample answer,Worker C,
SAMPLE-003,,,,02/07/2025 00:00,Face to Face,Offending Behaviour Contact,With,sample answer,Worker C,
SAMPLE-003,,,,03/07/2025 00:00,Email (to other),Letter/Email Out,About,sample answer,Worker C,
SAMPLE-003,,,,26/02/2025 00:00,Email (to other),Letter/Email Out,About,sample answer,Worker C,
SAMPLE-003,,,,19/03/2026 00:00,Other,Management Oversight,About,sample answer,Worker C,
SAMPLE-003,,,,23/03/2025 00:00,Face to Face,Meeting Review Plan/Activities,About,sample answer,Worker C,
SAMPLE-003,,,,23/03/2025 00:00,Other,Management Oversight,About,sample answer,Worker C,
SAMPLE-003,,,,24/03/2025 00:00,Email (to other),Management Oversight,About,sample answer,Worker C,
SAMPLE-003,,,,25/03/2025 00:00,Face to Face,Management Supervision of Case,About,sample answer,Worker C,
SAMPLE-003,,,,26/03/2025 00:00,Other,Management Oversight,About,sample answer,Worker C,
SAMPLE-003,,,,12/05/2025 00:00,Other,Management Supervision of Case,About,sample answer,Worker C,
SAMPLE-003,,,,20/05/2025 00:00,Face to Face,Meeting Review Plan/Activities,About,sample answer,Worker C,
SAMPLE-003,,,,21/05/2025 00:00,Email (to other),Management Oversight,About,sample answer,Worker C,
SAMPLE-003,,,,21/05/2025 00:00,Face to Face,Management Supervision of Case,About,sample answer,Worker C,
SAMPLE-003,,,,29/06/2025 00:00,Face to Face,Management Supervision of Case,About,sample answer,Worker C,
SAMPLE-003,,,,07/09/2023 00:00,Letter (to other),Letter/Email Out,With,sample answer,Worker C,
SAMPLE-003,,,,07/09/2023 00:00,Phone (to other),Telephone Out,With,sample answer,Worker C,
SAMPLE-003,,,,17/09/2023 00:00,Email (from other),Letter/Email In (Other),With,sample answer,Worker C,
SAMPLE-003,,,,18/09/2023 00:00,Letter (to other),Letter/Email Out,With,sample answer,Worker C,
SAMPLE-003,,,,18/09/2023 00:00,Phone (to other),Telephone Out,With,sample answer,Worker C,
SAMPLE-003,,,,25/09/2023 00:00,Face to Face,Victim Impact,With,sample answer,Worker C,
SAMPLE-003,,,,21/11/2024 00:00,Phone (to other),Victim Contact,With,sample answer,Worker C,
SAMPLE-003,,,,10/03/2025 00:00,Other,Victim Impact,With,sample answer,Worker C,
SAMPLE-003,,,,01/07/2024 00:00,Video Link,Multi Agency Meeting,About,sample answer,Worker C,
SAMPLE-003,,,,29/07/2024 00:00,Video Link,Multi Agency Meeting,About,sample answer,Worker C,
SAMPLE-003,,,,31/07/2024 00:00,Email (to other),Letter/Email Out,About,sample answer,Worker C,
SAMPLE-003,,,,29/09/2024 00:00,Email (to other),Letter/Email Out,About,sample answer,Worker C,
SAMPLE-003,,,,11/11/2024 00:00,Video Link,Multi Agency Meeting,About,sample answer,Worker C,
SAMPLE-003,,,,12/11/2024 00:00,Email (to other),Letter/Email Out,About,sample answer,Worker C,
